,Dataset,Algorithm,ARI,NMI,NCA,Silhouette,Silhouette_W,Calinski_Harabasz,G_Dunn,Neg_Davies_Bouldin,Neg_WCSS,Battery,median_internal,median_reference
181,unbalance,GMM,1.0,1.0,1.0,0.8577568525947494,0.7893091287415726,221461.032724179,1.6353276081899426,-0.29015294743110576,-21.458712141835615,sipu,0.823532990668161,1.0
182,unbalance,Genie_g0.1,0.5687946881979317,0.752841649140799,0.24171428571428574,0.2955723400871637,0.33739158955475584,20926.958330536258,0.005072843415970697,-1.117761905997721,-218.36210716024036,sipu,0.1503225917515672,0.5687946881979317
183,unbalance,Genie_g0.3,0.6237507375299216,0.767465981237289,0.29071428571428576,0.29641590404778756,0.3545958891815564,20912.63855680546,0.005354494498946203,-1.0677379292235296,-218.5052796123924,sipu,0.15088519927336688,0.6237507375299216
184,unbalance,Genie_g0.5,0.7820159369401577,0.817725191545149,0.3537142857142857,0.4410095448348907,0.4720395952599078,20803.706790417928,0.006164403131622252,-0.834545894479607,-219.60058207482007,sipu,0.22358697398325647,0.7820159369401577
185,unbalance,Genie_g0.7,0.999976887161302,0.9993880247919359,0.9985714285714286,0.8576857976574335,0.7888549611368434,220803.99540773546,1.6353276081899426,-0.29212276967845263,-21.52229886484936,sipu,0.8232703793971384,0.9993880247919359
186,unbalance,Genie_g0.9,0.999976887161302,0.9993880247919359,0.9985714285714286,0.8576857976574335,0.7888549611368434,220803.99540773546,1.6353276081899426,-0.29212276967845263,-21.52229886484936,sipu,0.8232703793971384,0.9993880247919359
187,unbalance,Agg_single,0.9988276318631844,0.9920688555948561,0.8557142857142858,0.8383146217901418,0.6948181212484307,100628.85618367587,0.7095943651892735,-inf,-46.99039538632131,sipu,0.702206243218852,0.9920688555948561
188,unbalance,Agg_average,1.0,1.0,1.0,0.8577568525947494,0.7893091287415726,221461.03272417904,1.6353276081899426,-0.29015294743110576,-21.458712141835615,sipu,0.823532990668161,1.0
189,unbalance,Agg_complete,0.6124663429125057,0.817508276222885,0.8014285714285715,0.6428493007533436,0.613625926603001,22928.34727405636,0.14531786242909903,-0.6372441891867344,-200.04253919544598,sipu,0.37947189451605,0.8014285714285715
190,unbalance,Agg_ward,0.999976887161302,0.9993880247919358,0.9985714285714286,0.8576857976574335,0.7888549611368434,220803.9954077355,1.6353276081899426,-0.29212276967845263,-21.52229886484936,sipu,0.8232703793971384,0.9993880247919358
191,unbalance,SC,0.6124107022262382,0.8160608361609524,0.7900000000000001,0.6435445175454965,0.6261985635125271,22927.438430104317,0.20034137358785745,-0.6177872616012117,-200.0501605941269,sipu,0.41326996855019227,0.7900000000000001
192,ecoli,K-means,0.5032811667205033,0.6154511183774828,0.5833380904809476,0.22500838127348727,0.22561797315299661,141.82489270842217,0.1788307529928851,-1.3811731406924606,-583.7730786892819,uci,0.20191956713318618,0.5833380904809476
193,ecoli,GMM,0.6512040362971914,0.6353899330564465,0.5647424004566862,0.15649212432128962,0.15206182929306664,96.94049251712154,0.24323605313046334,-1.8333419746285866,-765.9895971779216,uci,0.1542769768071781,0.6353899330564465
